Room Number,Campus,Exam Date,Exam Time,Invigilator 1,Invigilator 2
C008,AK,2024-10-30,11:30,706055,2497
C008,AK,2024-10-31,11:30,3840,3808
D137,SA,2024-10-31,11:30,123585784,3247
E004,AK,2024-10-31,11:30,70259681,140556451
C002,SA,2024-10-31,11:30,140659884,3408
D132,SA,2024-10-31,11:30,2350,140556454
C010,AK,2024-10-31,11:30,80022,3809
D113,SA,2024-10-31,11:30,143856524,302038
D131,SA,2024-10-31,11:30,70567897,81501013
C009,AK,2024-10-31,11:30,3880,2698
D136,SA,2024-10-31,11:30,140558091,70567505
D117,SA,2024-10-31,11:30,1766622,3800
D133,SA,2024-10-31,11:30,140558084,140156198
E001,AK,2024-10-31,11:30,75723486,70568185
E105,AK,2024-10-31,11:30,140558083,140558082
E005,AK,2024-10-31,11:30,73970882,12539
E103,AK,2024-10-31,11:30,70268084,140658381
E104,AK,2024-10-31,11:30,3355,140558281
C105,AK,2024-10-31,11:30,140556449,2315
C106,AK,2024-10-31,11:30,140556453,2794
C107,AK,2024-10-31,11:30,140656535,140156273
C102,AK,2024-10-31,11:30,3163,73465287
C108,AK,2024-10-31,11:30,140156476,73465285
C104,AK,2024-10-31,11:30,2864,3855
C101,AK,2024-10-31,11:30,140656534,2583
C111,AK,2024-10-31,11:30,140659883,140658387
C112,AK,2024-10-31,11:30,70570176,12727
C109,AK,2024-10-31,11:30,2324,140558384
C110,AK,2024-10-31,11:30,3816,140558182
D106,SA,2024-11-02,9:00,70569988,605012
D124,SA,2024-11-02,9:00,140656196,140156480
C004,AK,2024-11-02,9:00,70170053,140856806
D128,SA,2024-11-02,9:00,2633,73970881
C006,AK,2024-11-02,9:00,3282,506074
D108,SA,2024-11-02,9:00,140556448,140656536
D102,SA,2024-11-02,9:00,1749,3817
D117,SA,2024-11-02,9:00,140558383,70834075
D114,SA,2024-11-02,9:00,140856807,70567899
D113,SA,2024-11-02,9:00,143856456,73467545
D112,SA,2024-11-02,9:00,4327,706020
D109,SA,2024-11-02,9:00,140558081,2659
D101,SA,2024-11-02,9:00,140558090,85252
D120,SA,2024-11-02,9:00,706055,2497
D131,SA,2024-11-02,9:00,3840,3808
C009,AK,2024-11-02,9:00,123585784,3247
C003,AK,2024-11-02,9:00,70259681,140556451
C002,AK,2024-11-02,9:00,140659884,3408
C005,AK,2024-11-02,9:00,2350,140556454
C001,AK,2024-11-02,9:00,80022,3809
E005,AK,2024-11-02,9:00,143856524,302038
D137,SA,2024-11-02,9:00,70567897,81501013
C010,AK,2024-11-02,9:00,3880,2698
C008,AK,2024-11-02,9:00,140558091,70567505
D132,SA,2024-11-02,9:00,1766622,3800
D133,SA,2024-11-02,9:00,140558084,140156198
D136,SA,2024-11-02,9:00,75723486,70568185
E103,AK,2024-11-02,9:00,140558083,140558082
E105,AK,2024-11-02,9:00,73970882,12539
C102,AK,2024-11-02,9:00,70268084,140658381
C101,AK,2024-11-02,9:00,3355,140558281
C110,AK,2024-11-02,9:00,140556449,2315
C103,AK,2024-11-02,9:00,140556453,2794
